Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
MECH,36896.0,44397.0,FW/OP,FW,OP,,2020,2020_round2.pdf
MECH,47403.0,47403.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
MECH,18808.0,50397.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
MECH,36757.0,50398.0,EWS,EWS,,,2020,2020_round2.pdf
MECH,44504.0,50721.0,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
MECH,46596.0,56141.0,UR/X/F,UR,X,F,2020,2020_round2.pdf
MECH,130980.0,136646.0,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
MECH,232707.0,232707.0,SC/X/F,SC,X,F,2020,2020_round2.pdf
MECH,276005.0,297123.0,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
MECH,395644.0,395644.0,ST/X/F,ST,X,F,2020,2020_round2.pdf
CE,527210.0,527210.0,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
CE,378488.0,533139.0,FW/OP,FW,OP,,2020,2020_round2.pdf
CE,166129.0,958887.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
CSE,204261.0,326006.0,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
CSE,519414.0,519414.0,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
EC,756325.0,756325.0,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
CSE,393509.0,393509.0,FW/OP,FW,OP,,2020,2020_round2.pdf
EI,563189.0,722290.0,ST/X/F,ST,X,F,2021,2021_round1.pdf
EI,589106.0,741077.0,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
IP,89115.0,92351.0,FW/OP,FW,OP,,2021,2021_round1.pdf
IP,80106.0,103367.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IP,91131.0,107760.0,EWS,EWS,,,2021,2021_round1.pdf
IP,69685.0,131849.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IP,128308.0,132260.0,OBC/X/F,OBC,X,F,2021,2021_round1.pdf
IP,95516.0,135635.0,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
IP,64560.0,137789.0,UR/X/F,UR,X,F,2021,2021_round1.pdf
IP,314715.0,314715.0,UR/S/OP,UR,S,OP,2021,2021_round1.pdf
IP,319493.0,499182.0,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
IP,444371.0,537033.0,SC/X/F,SC,X,F,2021,2021_round1.pdf
IP,379818.0,632437.0,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
IT,17301.0,21140.0,FW/OP,FW,OP,,2021,2021_round1.pdf
IT,19401.0,24455.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IT,20961.0,26913.0,EWS,EWS,,,2021,2021_round1.pdf
