branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file
IT,34470,40035,OBC/X/F,OBC,X,F,2021,2021_round1.pdf
IT,110250,132532,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
IT,148607,148607,UR/S/F,UR,S,F,2021,2021_round1.pdf
IT,155314,194307,SC/X/F,SC,X,F,2021,2021_round1.pdf
IT,308951,308951,UR/FF/F,UR,FF,F,2021,2021_round1.pdf
IT,237547,314426,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
IT,277779,324852,ST/X/F,ST,X,F,2021,2021_round1.pdf
IT,469279,469279,UR/H/OP,UR,H,OP,2021,2021_round1.pdf
IT,553899,553899,OBC/H/OP,OBC,H,OP,2021,2021_round1.pdf
MECH,47863,54759,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
MECH,45383,59588,FW/OP,FW,OP,OP,2021,2021_round1.pdf
MECH,73814,73814,UR/S/OP,UR,S,OP,2021,2021_round1.pdf
MECH,45487,74995,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
MECH,65135,75318,EWS,EWS,,OP,2021,2021_round1.pdf
MECH,23603,77707,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
MECH,82698,94180,OBC/X/F,OBC,X,F,2021,2021_round1.pdf
MECH,50507,97570,UR/X/F,UR,X,F,2021,2021_round1.pdf
MECH,152952,152952,UR/FF/OP,UR,FF,OP,2021,2021_round1.pdf
MECH,167089,167089,UR/NCC/OP,UR,NCC,OP,2021,2021_round1.pdf
MECH,142870,283634,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
MECH,347555,347555,UR/S/F,UR,S,F,2021,2021_round1.pdf
MECH,250893,390941,SC/X/F,SC,X,F,2021,2021_round1.pdf
MECH,198582,493461,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
MECH,400434,503532,ST/X/F,ST,X,F,2021,2021_round1.pdf
CE,370829,469224,FW/OP,FW,OP,OP,2021,2021_round1.pdf
CE,605042,605042,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
CE,426557,763980,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
CSE,368511,738237,FW/OP,FW,OP,OP,2021,2021_round1.pdf
CSE,742156,742156,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
CSE,351614,769516,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
MECH,521150,521150,FW/OP,FW,OP,OP,2021,2021_round1.pdf
MECH,736563,772235,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
CSE,478857,681018,FW/OP,FW,OP,OP,2021,2021_round1.pdf
CSE,321829,747212,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
CSE,679546,760886,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
CSE,798609,798609,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
CSE,401545,401545,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
AIADS,449051,449051,EWS,EWS,,OP,2021,2021_round1.pdf
EE,22129,33944,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
EE,28744,39738,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EE,35058,40523,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EE,37448,42403,EWS,EWS,,OP,2021,2021_round2.pdf
EE,36674,48975,UR/X/F,UR,X,F,2021,2021_round2.pdf
EE,54385,54385,OBC/X/F,OBC,X,F,2021,2021_round2.pdf
EE,110143,110143,SC/X/F,SC,X,F,2021,2021_round2.pdf
EE,147876,147876,OBC/H/F,OBC,H,F,2021,2021_round2.pdf
EE,178106,199389,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
EE,430792,430792,SC/NCC/OP,SC,NCC,OP,2021,2021_round2.pdf
EE,678330,678330,SC/S/OP,SC,S,OP,2021,2021_round2.pdf
EI,35557,35557,FW/OP,FW,OP,OP,2021,2021_round2.pdf
EI,30762,36967,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EI,37098,37098,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EI,40160,40160,UR/X/F,UR,X,F,2021,2021_round2.pdf
EI,41159,41159,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
EI,46729,46729,EWS,EWS,,OP,2021,2021_round2.pdf
EI,59678,69761,OBC/X/F,OBC,X,F,2021,2021_round2.pdf
EI,90059,90059,UR/FF/OP,UR,FF,OP,2021,2021_round2.pdf
EI,161453,161453,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
EI,257153,257153,ST/X/F,ST,X,F,2021,2021_round2.pdf
IP,55669,61013,UR/X/F,UR,X,F,2021,2021_round2.pdf
IP,63888,66366,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
IP,70491,70491,FW/OP,FW,OP,OP,2021,2021_round2.pdf
IP,72930,81560,EWS,EWS,,OP,2021,2021_round2.pdf
IP,301107,301107,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
IP,307779,635125,ST/X/F,ST,X,F,2021,2021_round2.pdf
IT,11802,17446,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
IT,12263,17676,FW/OP,FW,OP,OP,2021,2021_round2.pdf
IT,18205,18205,EWS,EWS,,OP,2021,2021_round2.pdf
IT,18002,18825,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
IT,18029,21376,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
IT,16689,23692,UR/X/F,UR,X,F,2021,2021_round2.pdf
IT,34253,34253,OBC/NCC/OP,OBC,NCC,OP,2021,2021_round2.pdf
IT,44943,44943,SC/X/OP,SC,X,OP,2021,2021_round2.pdf
IT,109666,143218,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
IT,494043,494043,OBC/H/OP,OBC,H,OP,2021,2021_round2.pdf
MECH,23603,41341,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
MECH,27472,44450,FW/OP,FW,OP,OP,2021,2021_round2.pdf
MECH,45487,45487,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
MECH,43892,45713,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
MECH,55578,60368,UR/X/F,UR,X,F,2021,2021_round2.pdf
MECH,152952,152952,UR/FF/OP,UR,FF,OP,2021,2021_round2.pdf
MECH,179075,231024,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
CSE,637122,674005,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
CSE,394695,775627,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
CSE,801714,801714,FW/OP,FW,OP,OP,2021,2021_round2.pdf
EC,700621,700621,SC/X/OP,SC,X,OP,2021,2021_round2.pdf
MECH,733850,733850,SC/X/OP,SC,X,OP,2021,2021_round2.pdf
CSE,422407,504308,FW/OP,FW,OP,OP,2021,2021_round2.pdf
CSE,321077,321077,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
AIADS,739887,813977,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
CE,693434,693434,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
CSE,302285,302285,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
IP,541736,541736,UR/S/F,UR,S,F,2022,2022_round1.pdf
IP,244816,684663,ST/X/OP,ST,X,OP,2022,2022_round1.pdf
IP,201045,688125,SC/X/F,SC,X,F,2022,2022_round1.pdf
IP,239952,873844,SC/X/OP,SC,X,OP,2022,2022_round1.pdf
IT,17902,19897,FW/OP,FW,OP,OP,2022,2022_round1.pdf
IT,21079,26905,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
IT,18631,27174,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
IT,26012,29804,OBC/X/OP,OBC,X,OP,2022,2022_round1.pdf
IT,26950,33030,EWS,EWS,,OP,2022,2022_round1.pdf
IT,28884,36842,OBC/X/F,OBC,X,F,2022,2022_round1.pdf
IT,28577,37407,UR/X/F,UR,X,F,2022,2022_round1.pdf
IT,42293,52893,UR/S/OP,UR,S,OP,2022,2022_round1.pdf
IT,54533,54533,OBC/S/OP,OBC,S,OP,2022,2022_round1.pdf
IT,89869,89869,UR/S/F,UR,S,F,2022,2022_round1.pdf
IT,94027,94027,OBC/NCC/OP,OBC,NCC,OP,2022,2022_round1.pdf
IT,122082,122082,UR/H/OP,UR,H,OP,2022,2022_round1.pdf
IT,66133,133986,SC/X/OP,SC,X,OP,2022,2022_round1.pdf
IT,115214,185545,SC/X/F,SC,X,F,2022,2022_round1.pdf
IT,258845,258845,UR/NCC/F,UR,NCC,F,2022,2022_round1.pdf
IT,199111,284991,ST/X/OP,ST,X,OP,2022,2022_round1.pdf
IT,287836,326620,ST/X/F,ST,X,F,2022,2022_round1.pdf
IT,376358,376358,OBC/H/OP,OBC,H,OP,2022,2022_round1.pdf
IT,605140,605140,UR/FF/F,UR,FF,F,2022,2022_round1.pdf
MECH,50615,67876,FW/OP,FW,OP,OP,2022,2022_round1.pdf
MECH,59412,68136,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
MECH,50023,77476,UR/X/OP,UR,X,OP,2022,2022_round1.pdf
MECH,63146,77872,OBC/X/OP,OBC,X,OP,2022,2022_round1.pdf
MECH,68157,84360,EWS,EWS,,OP,2022,2022_round1.pdf
Electronics and Telecommunications,31766,40507,FW/OP,FW,OP,OP,2022,2022_round2.pdf
Electronics and Telecommunications,32498,40621,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
Electronics and Telecommunications,37248,40815,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
Electronics and Telecommunications,41788,41788,EWS,EWS,,OP,2022,2022_round2.pdf
Electronics and Telecommunications,41421,42685,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
Electronics and Telecommunications,39265,52698,UR/X/F,UR,X,F,2022,2022_round2.pdf
